Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,190100.00,191405.00,190100.00,190500.00,200,190500.00
2014-06-30,190200.00,190604.00,189799.00,189900.00,100,189900.00
2014-06-27,190400.00,191059.00,190050.00,190559.00,100,190559.00
2014-06-26,190849.00,190849.00,189232.00,190576.00,300,190576.00
2014-06-25,190000.00,190983.00,189733.00,190660.00,200,190660.00
2014-06-24,189889.00,191000.00,189624.00,190171.00,300,190171.00
2014-06-23,190215.00,190461.00,189477.00,189900.00,300,189900.00
2014-06-20,191721.00,191860.00,189789.00,190500.00,400,190500.00
2014-06-19,191000.00,191042.00,189899.00,190491.00,300,190491.00
2014-06-18,188990.00,190960.00,188220.00,190675.00,500,190675.00
2014-06-17,189110.00,189545.00,188493.00,188990.00,300,188990.00
2014-06-16,189000.00,189490.00,188721.00,189250.00,300,189250.00
2014-06-13,190950.00,191266.00,188575.00,189520.00,1200,189520.00
2014-06-12,192623.00,192720.00,190425.00,190950.00,200,190950.00
2014-06-11,191938.00,192658.00,191796.00,192357.00,100,192357.00
2014-06-10,191575.00,192420.00,191400.00,192306.00,200,192306.00
2014-06-09,192800.00,192878.00,191442.00,191917.00,300,191917.00
2014-06-06,192380.00,192908.00,192140.00,192895.00,300,192895.00
2014-06-05,190620.00,192309.00,190620.00,192100.00,300,192100.00
2014-06-04,190725.00,191357.00,190323.00,190766.00,200,190766.00
2014-06-03,191000.00,191632.00,190000.00,190417.00,200,190417.00
2014-06-02,192300.00,192522.00,191145.00,191748.00,100,191748.00
2014-05-30,191650.00,193000.00,191650.00,192000.00,300,192000.00
2014-05-29,191065.00,192300.00,190640.00,192300.00,200,192300.00
2014-05-28,191280.00,191800.00,191000.00,191356.00,200,191356.00
2014-05-27,191140.00,191649.00,190949.00,191300.00,200,191300.00
2014-05-23,190751.00,191000.00,189686.00,190205.00,100,190205.00
2014-05-22,189668.00,190737.00,189668.00,190535.00,200,190535.00
2014-05-21,189499.00,190366.00,189452.00,189975.00,200,189975.00
2014-05-20,190550.00,190550.00,188665.00,189201.00,200,189201.00
2014-05-19,190000.00,190746.00,189283.00,190400.00,200,190400.00
2014-05-16,190400.00,190400.00,188660.00,190210.00,200,190210.00
2014-05-15,190860.00,190860.00,189028.00,189371.00,200,189371.00
2014-05-14,191200.00,191900.00,191200.00,191420.00,200,191420.00
2014-05-13,191500.00,191826.00,190716.00,191826.00,100,191826.00
2014-05-12,192300.00,192320.00,190432.00,191115.00,200,191115.00
2014-05-09,189500.00,191035.00,188954.00,190883.00,100,190883.00
2014-05-08,191375.00,191375.00,189555.00,190100.00,100,190100.00
2014-05-07,188724.00,194670.00,188602.00,191550.00,500,191550.00
2014-05-06,189102.00,189346.00,186250.00,187375.00,400,187375.00
2014-05-05,189800.00,190979.00,189198.00,189790.00,400,189790.00
2014-05-02,194020.00,194530.00,191798.00,192255.00,200,192255.00
2014-05-01,193295.00,193800.00,192220.00,193482.00,200,193482.00
2014-04-30,192799.00,193789.00,192500.00,193275.00,200,193275.00
2014-04-29,191530.00,193098.00,191530.00,192545.00,300,192545.00
2014-04-28,192399.00,192399.00,189400.00,191400.00,200,191400.00
2014-04-25,190480.00,191315.00,189918.00,190686.00,200,190686.00
2014-04-24,191500.00,191833.00,189965.00,190500.00,200,190500.00
2014-04-23,191475.00,191880.00,190100.00,190800.00,100,190800.00
2014-04-22,189499.00,191031.00,188887.00,190720.00,600,190720.00
2014-04-21,191475.00,191475.00,189400.00,189482.00,300,189482.00
2014-04-17,188880.00,191506.00,188527.00,190639.00,400,190639.00
2014-04-16,186201.00,188984.00,186201.00,188900.00,400,188900.00
2014-04-15,183900.00,185870.00,183215.00,185640.00,400,185640.00
2014-04-14,183500.00,183700.00,181785.00,183212.00,400,183212.00
2014-04-11,183000.00,183735.00,182245.00,182759.00,300,182759.00
2014-04-10,186300.00,186984.00,183401.00,183402.00,400,183402.00
2014-04-09,185400.00,186121.00,184800.00,185897.00,300,185897.00
2014-04-08,184700.00,185735.00,183845.00,184640.00,900,184640.00
2014-04-07,185351.00,186133.00,184613.00,184700.00,300,184700.00
2014-04-04,186715.00,187925.00,185740.00,185753.00,200,185753.00
2014-04-03,186608.00,187024.00,185915.00,186287.00,300,186287.00
2014-04-02,186700.00,187280.00,186289.00,186759.00,700,186759.00
2014-04-01,187500.00,188000.00,186609.00,187213.00,300,187213.00
2014-03-31,186005.00,187400.00,186005.00,187350.00,600,187350.00
2014-03-28,185800.00,186433.00,183000.00,185149.00,200,185149.00
2014-03-27,184950.00,185735.00,184090.00,185200.00,300,185200.00
2014-03-26,187190.00,187472.00,184512.00,184540.00,300,184540.00
2014-03-25,187647.00,187647.00,185831.00,186587.00,200,186587.00
2014-03-24,188014.00,188380.00,186000.00,186520.00,200,186520.00
2014-03-21,187925.00,188598.00,187213.00,187850.00,400,187850.00
2014-03-20,183999.00,186742.00,183630.00,186540.00,300,186540.00
2014-03-19,184860.00,185489.00,182764.00,183860.00,200,183860.00
2014-03-18,185400.00,185400.00,183860.00,184860.00,200,184860.00
2014-03-17,184350.00,185790.00,184350.00,185050.00,400,185050.00
2014-03-14,185825.00,186507.00,183418.00,183860.00,600,183860.00
2014-03-13,188150.00,188852.00,185254.00,185750.00,700,185750.00
2014-03-12,186498.00,187832.00,186005.00,187750.00,300,187750.00
2014-03-11,186925.00,187490.00,185910.00,187101.00,600,187101.00
2014-03-10,183999.00,186400.00,183601.00,186400.00,400,186400.00
2014-03-07,183199.00,184355.00,182345.00,183772.00,400,183772.00
2014-03-06,179449.00,182214.00,179000.00,182175.00,600,182175.00
2014-03-05,177489.00,178750.00,177389.00,178655.00,400,178655.00
2014-03-04,175651.00,177989.00,175651.00,177989.00,700,177989.00
2014-03-03,174100.00,174997.00,172759.00,174500.00,800,174500.00
2014-02-28,171960.00,173717.00,171529.00,173708.00,500,173708.00
2014-02-27,169806.00,171798.00,169710.00,171730.00,300,171730.00
2014-02-26,170800.00,171332.00,169909.00,170473.00,200,170473.00
2014-02-25,169601.00,171240.00,169320.00,170721.00,300,170721.00
2014-02-24,170226.00,171077.00,169980.00,170006.00,300,170006.00
2014-02-21,170000.00,171095.00,169867.00,170120.00,300,170120.00
2014-02-20,170000.00,170392.00,168761.00,169844.00,400,169844.00
2014-02-19,172100.00,172186.00,170080.00,170080.00,300,170080.00
2014-02-18,172999.00,172999.00,171836.00,172292.00,300,172292.00
2014-02-14,171970.00,173833.00,171623.00,172425.00,300,172425.00
2014-02-13,169760.00,172223.00,169276.00,172222.00,400,172222.00
2014-02-12,170900.00,171420.00,169900.00,170140.00,300,170140.00
2014-02-11,168875.00,170975.00,168740.00,170515.00,400,170515.00
2014-02-10,169700.00,170124.00,168000.00,169120.00,400,169120.00
2014-02-07,166724.00,169166.00,166724.00,169010.00,600,169010.00
2014-02-06,165300.00,166160.00,164840.00,166000.00,300,166000.00
2014-02-05,165150.00,165150.00,163038.00,164075.00,400,164075.00
2014-02-04,165700.00,166030.00,164500.00,164817.00,500,164817.00
2014-02-03,169599.00,169599.00,164510.00,165265.00,1000,165265.00
2014-01-31,168017.00,169625.00,167638.00,169511.00,700,169511.00
2014-01-30,169200.00,170499.00,168120.00,170450.00,500,170450.00
2014-01-29,168737.00,168899.00,168000.00,168748.00,600,168748.00
2014-01-28,169050.00,169720.00,168590.00,169212.00,1000,169212.00
2014-01-27,168151.00,168982.00,167632.00,168210.00,1000,168210.00
2014-01-24,169676.00,170000.00,168414.00,168500.00,1200,168500.00
2014-01-23,172330.00,172330.00,170000.00,170310.00,800,170310.00
2014-01-22,173100.00,173800.00,172580.00,172895.00,300,172895.00
2014-01-21,172950.00,173100.00,171466.00,172500.00,500,172500.00
2014-01-17,173050.00,173263.00,172102.00,172350.00,400,172350.00
2014-01-16,173900.00,173999.00,172369.00,172773.00,300,172773.00
2014-01-15,172680.00,173730.00,172055.00,173665.00,700,173665.00
2014-01-14,171221.00,172308.00,170522.00,172250.00,300,172250.00
2014-01-13,172900.00,172906.00,170750.00,170893.00,300,170893.00
2014-01-10,173600.00,173600.00,171681.00,172540.00,200,172540.00
2014-01-09,173760.00,173812.00,172609.00,172965.00,400,172965.00
2014-01-08,174440.00,174440.00,172982.00,173284.00,400,173284.00
2014-01-07,174588.00,175480.00,174000.00,174195.00,400,174195.00
2014-01-06,176720.00,177199.00,174500.00,174500.00,500,174500.00
2014-01-03,176297.00,177070.00,176112.00,176336.00,200,176336.00
2014-01-02,177500.00,177792.00,176118.00,176320.00,300,176320.00
2013-12-31,177000.00,177950.00,176793.00,177900.00,200,177900.00
2013-12-30,177600.00,177685.00,176655.00,177069.00,200,177069.00
2013-12-27,176720.00,177320.00,176678.00,177160.00,200,177160.00
2013-12-26,176000.00,176900.00,175610.00,176900.00,400,176900.00
2013-12-24,175898.00,176063.00,175555.00,176010.00,200,176010.00
2013-12-23,174850.00,175898.00,174556.00,175898.00,400,175898.00
2013-12-20,174440.00,175600.00,174040.00,175600.00,700,175600.00
2013-12-19,173980.00,174850.00,173518.00,174649.00,400,174649.00
2013-12-18,170611.00,174270.00,170500.00,174250.00,700,174250.00
2013-12-17,171080.00,171151.00,170375.00,170420.00,500,170420.00
2013-12-16,171525.00,171937.00,170550.00,171139.00,400,171139.00
2013-12-13,171500.00,172300.00,171000.00,171100.00,300,171100.00
2013-12-12,171511.00,172555.00,171100.00,171500.00,300,171500.00
2013-12-11,173500.00,173620.00,171512.00,171630.00,300,171630.00
2013-12-10,175494.00,175631.00,173391.00,173470.00,500,173470.00
2013-12-09,175275.00,176140.00,175000.00,175700.00,500,175700.00
2013-12-06,173980.00,175000.00,173825.00,174940.00,400,174940.00
2013-12-05,172655.00,173400.00,172499.00,173000.00,700,173000.00
2013-12-04,171050.00,173500.00,171050.00,173500.00,800,173500.00
2013-12-03,172220.00,172440.00,171115.00,172131.00,800,172131.00
2013-12-02,174500.00,174870.00,172744.00,172940.00,500,172940.00
2013-11-29,175320.00,175430.00,174272.00,174750.00,100,174750.00
2013-11-27,175000.00,175385.00,173951.00,174625.00,400,174625.00
2013-11-26,173500.00,175241.00,173500.00,174840.00,300,174840.00
2013-11-25,175675.00,175856.00,173125.00,173311.00,800,173311.00
2013-11-22,174848.00,175908.00,174700.00,174850.00,600,174850.00
2013-11-21,172920.00,174740.00,172099.00,174621.00,400,174621.00
2013-11-20,173626.00,173763.00,171864.00,172480.00,300,172480.00
2013-11-19,173520.00,174310.00,173218.00,173760.00,400,173760.00
2013-11-18,174601.00,174725.00,173510.00,173810.00,400,173810.00
2013-11-15,173500.00,174443.00,173005.00,174300.00,600,174300.00
2013-11-14,172499.00,173400.00,172159.00,173320.00,700,173320.00
2013-11-13,170953.00,172260.00,170938.00,172150.00,400,172150.00
2013-11-12,173060.00,173089.00,171040.00,171211.00,300,171211.00
2013-11-11,173900.00,173995.00,172985.00,173485.00,200,173485.00
2013-11-08,170809.00,173766.00,170180.00,173201.00,500,173201.00
2013-11-07,172700.00,173005.00,170836.00,171090.00,300,171090.00
2013-11-06,172875.00,172875.00,171813.00,172220.00,600,172220.00
2013-11-05,171750.00,172605.00,171475.00,171754.00,200,171754.00
2013-11-04,173749.00,173929.00,171765.00,172089.00,500,172089.00
2013-11-01,173220.00,174000.00,172473.00,173122.00,300,173122.00
2013-10-31,174250.00,174500.00,172768.00,172994.00,600,172994.00
2013-10-30,176188.00,176465.00,174340.00,174340.00,500,174340.00
2013-10-29,175200.00,176110.00,175148.00,175991.00,400,175991.00
2013-10-28,175350.00,175763.00,175039.00,175400.00,400,175400.00
2013-10-25,175021.00,175615.00,174802.00,175435.00,400,175435.00
2013-10-24,175231.00,175928.00,174943.00,175021.00,300,175021.00
2013-10-23,175794.00,176140.00,174455.00,174600.00,300,174600.00
2013-10-22,176000.00,176360.00,175570.00,176140.00,600,176140.00
2013-10-21,175400.00,175400.00,174700.00,175120.00,300,175120.00
2013-10-18,176000.00,176300.00,175262.00,175400.00,300,175400.00
2013-10-17,174541.00,175862.00,174100.00,175286.00,400,175286.00
2013-10-16,172620.00,175100.00,172572.00,174872.00,400,174872.00
2013-10-15,173970.00,173970.00,171799.00,171920.00,400,171920.00
2013-10-14,172006.00,174200.00,171750.00,174200.00,600,174200.00
2013-10-11,172275.00,173638.00,171596.00,173605.00,900,173605.00
2013-10-10,169799.00,172485.00,169620.00,172485.00,500,172485.00
2013-10-09,168075.00,168520.00,166510.00,168205.00,400,168205.00
2013-10-08,169720.00,169883.00,167380.00,167452.00,600,167452.00
2013-10-07,169609.00,170600.00,168580.00,169455.00,600,169455.00
2013-10-04,170400.00,171496.00,170085.00,170743.00,400,170743.00
2013-10-03,171100.00,171100.00,169255.00,169995.00,600,169995.00
2013-10-02,170101.00,171506.00,169855.00,171500.00,500,171500.00
2013-10-01,170438.00,171602.00,170200.00,171028.00,400,171028.00
2013-09-30,170605.00,171131.00,169780.00,170410.00,400,170410.00
2013-09-27,172990.00,172990.00,171772.00,172210.00,400,172210.00
2013-09-26,173499.00,174582.00,172616.00,173600.00,300,173600.00
2013-09-25,172550.00,173990.00,172435.00,173368.00,300,173368.00
2013-09-24,173849.00,173849.00,172316.00,172500.00,300,172500.00
2013-09-23,175150.00,175300.00,172800.00,173539.00,400,173539.00
2013-09-20,176200.00,176783.00,175000.00,175000.00,800,175000.00
2013-09-19,175700.00,176600.00,174980.00,175825.00,1000,175825.00
2013-09-18,173224.00,175526.00,172630.00,175005.00,900,175005.00
2013-09-17,172660.00,173863.00,172601.00,173299.00,300,173299.00
2013-09-16,171450.00,172600.00,171344.00,172500.00,500,172500.00
2013-09-13,170000.00,170456.00,169508.00,170155.00,200,170155.00
2013-09-12,170650.00,171086.00,169660.00,170000.00,400,170000.00
2013-09-11,170500.00,171361.00,170108.00,171340.00,500,171340.00
2013-09-10,169846.00,170684.00,169320.00,170489.00,500,170489.00
2013-09-09,168000.00,169000.00,167265.00,168880.00,500,168880.00
2013-09-06,168400.00,168764.00,166168.00,167565.00,300,167565.00
2013-09-05,168198.00,168948.00,168000.00,168240.00,300,168240.00
2013-09-04,168100.00,168677.00,167200.00,168259.00,300,168259.00
2013-09-03,168333.00,169299.00,167300.00,167993.00,500,167993.00
2013-08-30,168226.00,168226.00,166367.00,167050.00,300,167050.00
2013-08-29,168220.00,170454.00,167834.00,168050.00,200,168050.00
2013-08-28,167000.00,169323.00,166885.00,168585.00,300,168585.00
2013-08-27,170000.00,170200.00,167000.00,167350.00,600,167350.00
2013-08-26,171840.00,172360.00,170800.00,171000.00,500,171000.00
2013-08-23,172699.00,172699.00,171161.00,171320.00,300,171320.00
2013-08-22,171550.00,173000.00,171180.00,172206.00,500,172206.00
2013-08-21,172533.00,172657.00,170440.00,170800.00,300,170800.00
2013-08-20,171575.00,173000.00,171357.00,173000.00,300,173000.00
2013-08-19,172620.00,173153.00,171500.00,171501.00,200,171501.00
2013-08-16,172050.00,173500.00,171550.00,173122.00,300,173122.00
2013-08-15,174010.00,174296.00,171998.00,172799.00,600,172799.00
2013-08-14,175800.00,175831.00,174755.00,174755.00,300,174755.00
2013-08-13,176000.00,176447.00,174777.00,175725.00,300,175725.00
2013-08-12,174500.00,175960.00,174192.00,175748.00,300,175748.00
2013-08-09,176200.00,176500.00,174865.00,175100.00,200,175100.00
2013-08-08,176277.00,176778.00,175033.00,176551.00,300,176551.00
2013-08-07,176400.00,176400.00,174811.00,175200.00,300,175200.00
2013-08-06,176900.00,177539.00,175943.00,176855.00,400,176855.00
2013-08-05,178520.00,178547.00,176797.00,177300.00,400,177300.00
2013-08-02,176200.00,176665.00,175211.00,176500.00,600,176500.00
2013-08-01,175600.00,177604.00,175000.00,175700.00,900,175700.00
2013-07-31,174300.00,175259.00,173897.00,173900.00,400,173900.00
2013-07-30,175450.00,175620.00,173491.00,173566.00,300,173566.00
2013-07-29,175600.00,176752.00,173980.00,174505.00,300,174505.00
2013-07-26,175130.00,175926.00,173487.00,175926.00,24800,175926.00
2013-07-25,174200.00,176150.00,173402.00,175441.00,34000,175441.00
2013-07-24,177822.00,178000.00,174000.00,174581.00,43000,174581.00
2013-07-23,178646.00,178646.00,177234.00,177249.00,39100,177249.00
2013-07-22,178900.00,178900.00,177856.00,178223.00,21100,178223.00
2013-07-19,177678.00,178533.00,177206.00,178275.00,17400,178275.00
2013-07-18,176951.00,177678.00,176951.00,177678.00,46900,177678.00
2013-07-17,176451.00,177112.00,176269.00,176341.00,26100,176341.00
2013-07-16,176240.00,176982.00,175637.00,175849.00,21300,175849.00
2013-07-15,175743.00,176170.00,175278.00,175877.00,21100,175877.00
2013-07-12,175199.00,175792.00,174909.00,175505.00,27500,175505.00
2013-07-11,173899.00,176000.00,173330.00,175644.00,68800,175644.00
2013-07-10,173700.00,173700.00,171904.00,172605.00,31100,172605.00
2013-07-09,173480.00,173839.00,172700.00,173741.00,48200,173741.00
2013-07-08,172900.00,173745.00,172205.00,172500.00,41700,172500.00
2013-07-05,169900.00,172360.00,169900.00,172201.00,50200,172201.00
2013-07-03,168140.00,169009.00,167520.00,168976.00,13800,168976.00
2013-07-02,169800.00,170000.00,168248.00,168799.00,31000,168799.00
2013-07-01,169200.00,170681.00,169000.00,169622.00,33000,169622.00
2013-06-28,169294.00,169294.00,167639.00,168600.00,46800,168600.00
2013-06-27,170254.00,170550.00,169326.00,169326.00,31700,169326.00
2013-06-26,169704.00,170200.00,168502.00,169360.00,49100,169360.00
2013-06-25,167483.00,168420.00,166514.00,168314.00,41900,168314.00
2013-06-24,167999.00,168285.00,164548.00,166439.00,49800,166439.00
2013-06-21,168953.00,169705.00,166925.00,168200.00,54200,168200.00
2013-06-20,169663.00,170749.00,166485.00,167900.00,81600,167900.00
2013-06-19,172700.00,173399.00,170952.00,170952.00,38800,170952.00
2013-06-18,172774.00,173308.00,172295.00,172581.00,55400,172581.00
2013-06-17,172280.00,173332.00,170850.00,172710.00,71400,172710.00
2013-06-14,172400.00,172613.00,171000.00,171259.00,21900,171259.00
2013-06-13,169120.00,172604.00,168494.00,172604.00,41600,172604.00
2013-06-12,170823.00,171580.00,168996.00,169195.00,37600,169195.00
